instituicao;id_municipio;valor_total;valor_gasto_hospital;perc
Prefeitura Municipal de Abadia de Goiás - GO;5200050;46296112,62;6634216,12;1,43299636720125e+01
Prefeitura Municipal de Abadia dos Dourados - MG;3100104;24579398,84;4297685,31;1,74849081459472e+01
Prefeitura Municipal de Abadiânia - GO;5200100;61231341,59;NA;NA
Prefeitura Municipal de Abaetetuba - PA;1500107;317957446,04;27141896,90;8,53633001461003e+00
Prefeitura Municipal de Abaeté - MG;3100203;59401479,44;11271087,77;1,89744226511810e+01
Prefeitura Municipal de Abaiara - CE;2300101;31226598,87;3016721,16;9,66074202496072e+00
Prefeitura Municipal de Abaré - BA;2900207;56971104,87;1271347,96;2,23156627013121e+00
Prefeitura Municipal de Abatiá - PR;4100103;22790261,14;1780064,03;7,81063463496584e+00
Prefeitura Municipal de Abaíra - BA;2900108;23987824,47;NA;NA
Prefeitura Municipal de Abdon Batista - SC;4200051;21409807,45;47569,30;2,22184623150359e-01
Prefeitura Municipal de Abel Figueiredo - PA;1500131;24707731,26;3079197,07;1,24624840605458e+01
Prefeitura Municipal de Abelardo Luz - SC;4200101;67261181,90;4742789,14;7,05130211219199e+00
Prefeitura Municipal de Abre Campo - MG;3100302;42451311,90;2366770,50;5,57525879429889e+00
Prefeitura Municipal de Abreu e Lima - PE;2600054;112749857,71;7642878,09;6,77861439937067e+00
Prefeitura Municipal de Abreulândia - TO;1700251;15951698,21;NA;NA
Prefeitura Municipal de Acaiaca - MG;3100401;18046696,36;289574,52;1,60458465207978e+00
Prefeitura Municipal de Acajutiba - BA;2900306;48287087,85;2986367,98;6,18460982628920e+00
Prefeitura Municipal de Acarape - CE;2300150;46748868,69;3914098,60;8,37260603236215e+00
Prefeitura Municipal de Acaraú - CE;2300200;180396259,61;16733654,77;9,27605417439176e+00
Prefeitura Municipal de Acari - RN;2400109;31244328,83;1857855,16;5,94621561598768e+00
Prefeitura Municipal de Acará - PA;1500206;164522190,42;8179519,40;4,97168155804329e+00
Prefeitura Municipal de Acauã - PI;2200053;20066275,41;NA;NA
Prefeitura Municipal de Aceguá - RS;4300034;28511757,94;49357,76;1,73113703139134e-01
Prefeitura Municipal de Acopiara - CE;2300309;118321683,48;12360974,30;1,04469222685539e+01
Prefeitura Municipal de Acorizal - MT;5100102;23634040,74;472735,78;2,00023256793286e+00
Prefeitura Municipal de Acrelândia - AC;1200013;33686602,07;NA;NA
Prefeitura Municipal de Acreúna - GO;5200134;67131500,97;7942662,87;1,18314990060321e+01
Prefeitura Municipal de Adamantina - SP;3500105;196752056,19;28825939,86;1,46508963708940e+01
Prefeitura Municipal de Adelândia - GO;5200159;16028569,79;NA;NA
Prefeitura Municipal de Adolfo - SP;3500204;27599668,91;57782,33;2,09358779586896e-01
Prefeitura Municipal de Adrianópolis - PR;4100202;37689657,19;198945,11;5,27850675311489e-01
Prefeitura Municipal de Adustina - BA;2900355;48313486,08;761912,76;1,57701880327655e+00
Prefeitura Municipal de Afogados da Ingazeira - PE;2600104;119893467,96;8740397,13;7,29013621735928e+00
Prefeitura Municipal de Afonso Bezerra - RN;2400307;36180059,61;835989,53;2,31063613219956e+00
Prefeitura Municipal de Afonso Cláudio - ES;3200102;89101248,94;7823337,11;8,78027772121148e+00
Prefeitura Municipal de Afonso Cunha - MA;2100105;30821878,47;2632090,35;8,53968181258616e+00
Prefeitura Municipal de Afrânio - PE;2600203;55994700,58;8751594,69;1,56293267029735e+01
Prefeitura Municipal de Afuá - PA;1500305;109419187,88;8432097,60;7,70623303222418e+00
Prefeitura Municipal de Agrestina - PE;2600302;73373713,33;6916332,65;9,42617231172918e+00
Prefeitura Municipal de Agricolândia - PI;2200103;20433133,78;NA;NA
Prefeitura Municipal de Agrolândia - SC;4200200;39313039,34;NA;NA
Prefeitura Municipal de Agronômica - SC;4200309;29542251,07;NA;NA
Prefeitura Municipal de Aguanil - MG;3100807;19702165,54;450278,76;2,28542775709517e+00
Prefeitura Municipal de Aguaí - SP;3500303;93436922,09;15729122,59;1,68339476923795e+01
Prefeitura Municipal de Agudo - RS;4300109;64419291,12;2158623,72;3,35089642010950e+00
Prefeitura Municipal de Agudos - SP;3500709;155647028,55;20117218,34;1,29248971390016e+01
Prefeitura Municipal de Agudos do Sul - PR;4100301;28715730,14;4075728,73;1,41933661798926e+01
Prefeitura Municipal de Aguiar - PB;2500205;21931449,58;1598685,42;7,28946535963538e+00
Prefeitura Municipal de Aguiarnópolis - TO;1700301;21526583,25;1040463,38;4,83338841058299e+00
Prefeitura Municipal de Aimorés - MG;3101102;77642665,24;8447279,88;1,08796881893335e+01
Prefeitura Municipal de Aiquara - BA;2900603;23314344,39;772604,51;3,31385904349678e+00
Prefeitura Municipal de Aiuaba - CE;2300408;46569016,05;3656958,70;7,85277210081831e+00
Prefeitura Municipal de Aiuruoca - MG;3101201;25512949,23;7973124,29;3,12512842718497e+01
Prefeitura Municipal de Ajuricaba - RS;4300208;29058758,87;1564046,83;5,38235936709158e+00
Prefeitura Municipal de Alagoa - MG;3101300;18690202,42;3954810,61;2,11598061975404e+01
Prefeitura Municipal de Alagoa Grande - PB;2500304;64736328,79;4796296,23;7,40897162327330e+00
Prefeitura Municipal de Alagoa Nova - PB;2500403;59024577,71;2483234,99;4,20712029859942e+00
Prefeitura Municipal de Alagoinha - PB;2500502;46418449,47;1805634,39;3,88990673022582e+00
Prefeitura Municipal de Alagoinha - PE;2600609;49295347,57;1246504,61;2,52864554455154e+00
Prefeitura Municipal de Alagoinha do Piauí - PI;2200251;18657046,62;319332,38;1,71159126363377e+00
Prefeitura Municipal de Alagoinhas - BA;2900702;441420896,35;66319177,91;1,50240232074142e+01
Prefeitura Municipal de Alambari - SP;3500758;23238178,09;438233,90;1,88583587879716e+00
Prefeitura Municipal de Albertina - MG;3101409;15950371,56;369982,95;2,31958828424935e+00
Prefeitura Municipal de Alcantil - PB;2500536;22221025,87;637717,84;2,86988478268668e+00
Prefeitura Municipal de Alcinópolis - MS;5000252;40840055,56;4002878,27;9,80135363459334e+00
Prefeitura Municipal de Alcobaça - BA;2900801;93090276,58;534579,81;5,74259557109160e-01
Prefeitura Municipal de Alcântara - MA;2100204;41666243,16;442601,80;1,06225511693097e+00
Prefeitura Municipal de Alcântaras - CE;2300507;37968857,34;213423,76;5,62102140943702e-01
Prefeitura Municipal de Aldeias Altas - MA;2100303;81272330,50;3771522,01;4,64059783544659e+00
Prefeitura Municipal de Alecrim - RS;4300307;27416999,17;1075955,71;3,92441092232050e+00
Prefeitura Municipal de Alegre - ES;3200201;99057950,75;6060902,19;6,11854186777632e+00
